기사날짜,기사제목,네이버 뉴스 url,기사내용
2021.02.08.,"카카오 김범수 ""재산 절반 이상 기부…공식 서약할 것""(종합)",https://n.news.naver.com/mnews/article/001/0012190915?sid=105,"""사회문제 해결 위해 사람 찾고 지원할 것""…카카오 보유 주식만 10조원 넘어카카오 김범수 이사회 의장[카카오 제공. 재판매 및 DB 금지]    (서울=연합뉴스) 홍지인 기자 = 카카오를 창업한 김범수(55) 이사회 의장이 8일 자신의 재산 절반 이상을 사회 문제 해결을 위해 기부하겠다는 뜻을 밝혔다.    김 의장의 재산은 개인 명의로 보유한 카카오 주식 1천250만주(전날 종가 기준 5조7천억원) 등 총 10조원이 넘어 기부 의사를 밝힌 '재산 절반'은 5조원 이상으로 추산된다.     김 의장은 이날 카카오 및 계열사 전 임직원에게 보낸 신년 카카오톡 메시지에서 ""앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다""고 밝혔다.    그는 ""격동의 시기에 사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더이상 결심을 더 늦추면 안 되겠다는 생각이 들었다""고 말했다.    이어 ""그 다짐은 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진 중에 있다""고 밝혔다.     김 의장은 ""구체적으로 어떻게 사용할지는 이제 고민을 시작한 단계""라면서 ""카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원해 나갈 생각""이라고 설명했다.     그는 ""모든 영역에서 비대면이 강화되는 상황과 급격한 기술 발전이 겹쳐지면서 세상은 이전에 경험하지 못했던 영역으로 빠르게 진입했다""며 ""이제 시작에 불과할 수 있는 이번 변화의 물결은 세상을 어느 곳으로 이끌고 갈지 두렵기도 하고 기대가 되기도 한다""고 밝혔다.     이어 ""점점 기존의 방식으로는 풀 수 없는 문제가 많아지면서 함께 지혜를 모아 나가야겠다는 생각이 든다""며 ""조만간 더 깊은 소통을 할 수 있는 크루 간담회도 열어보려고 한다""고 덧붙였다.     김 의장은 지난해 카카오톡 출시 10주년 당시 ""기업이 선한 의지를 갖는다면 확실히 더 나은 세상이 되는 데에 더 근접할 수 있다""며 ""조금 더 사회 문제에 관심을 많이 갖고 더 적극적으로 그 문제를 해결하려는 어떤 방법을 찾아보고 싶다는 생각이 든다""고 말한 바 있다.    김 의장의 재산은 개인 명의로 보유한 카카오 주식 1천250만주만해도 전날 종가 기준으로 5조7천억원에 달한다. 그가 소유한 케이큐브홀딩스의 994만주를 합치면 10조2천102억원에 달한다.    김 의장은 1998년 한게임을 창업해 2000년 네이버와 합병시킨 다음 NHN 공동대표를 맡다가 2007년 물러나 미국으로 떠났다.    이후 한국으로 돌아와 2010년 카카오톡을 내놓았고, 2014년에는 다음커뮤니케이션을 인수했다. ljungberg@yna.co.kr▶네이버에서도 뉴스는 연합뉴스[구독 클릭]▶[팩트체크]은마아파트 2천300t 생활폐기물 누구 책임?▶제보하기<저작권자(c) 연합뉴스(https://www.yna.co.kr/), 무단 전재-재배포 금지>"
2021.02.08.,"[속보] 카카오 김범수 ""재산 절반 이상 기부한다""",https://n.news.naver.com/mnews/article/014/0004580836?sid=105,"[파이낸셜뉴스] 카카오 창업자 김범수 이사회 의장(  사진)이 8일 자신의 재산 절반 이상을 기부하겠다는 뜻을 밝혔다.   김 의장은 이날 카카오 및 계열사 전 임직원에게 보낸 신년 카카오톡 메시지에서 ""앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다""며 ""기부 다짐이 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진 중에 있다""고 전했다.    김범수 카카오 의장. 카카오 제공 elikim@fnnews.com 김미희 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ '아는 척'하고 싶은 당신을 위한 [두유노우]▶ 날로먹고 구워먹는 금융이슈 [파인애플]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
2021.02.08.,"카카오 김범수, 재산 절반 '5조' 기부 선언 배경은? [종합]",https://n.news.naver.com/mnews/article/015/0004496517?sid=105,"카카오 임직원 6000여명에 신년 카톡 메세지""사회문제 해결 위해 재산 절반 기부""""빠른시일 내에 기부서약…확정시 내용 밝힐 것""사진=연합뉴스김범수 카카오 이사회 의장이 재산의 절반 이상을 사회에 환원하겠다고 선언하면서 그 배경에 관심이 쏠린다.8일 김범수 의장은 카카오 임직원들에게 '브라이언'이라는 이름으로 보낸 신년 카카오톡 메시지에서 ""앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다""고 밝혔다.김 의장은 ""격동의 시기에 사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더이상 결심을 더 늦추면 안되겠다는 생각이 들었다""며 이 같이 말했다.이어 ""그 다짐은 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진 중에 있다""며 ""카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원할 생각""이라고 했다.현재 김 의장이 직접 보유한 카카오 주식 1250만주의 평가 가치는 전날 종가 기준 5조7000억원에 달한다. 국내에선 이재용 삼성전자 부회장, 정몽구 현대차그룹 명예회장에 이은 주식 부자 3위다.여기에 카카오 지분 11.26%를 소유하고 있는 김 의장의 개인회사 케이큐브홀딩스의 994만주를 합치면 총 재산은 10조2102억원에 달한다. 기부하겠다는 재산 절반이 최소 5조원 이상인 셈이다.다만 기부의 구체적인 시기나 방식은 알려지지 않았다. 김 의장은 ""구체적인 플랜은 크루(직원) 여러분들에게 지속적으로 공유드리며 아이디어도 얻고 기회도 열어 드리도록 하겠다""고 했다.김 의장의 기부 선언은 최근 자녀들에 대한 '승계 논란'이 제기된 가운데 발표돼 눈길을 끈다.김 의장은 지난달 19일 보유 중인 주식 33만주를 부인과 두 자녀를 포함한 14명의 친인척에게 증여했다. 해당일 카카오 주가를 기준으로 33만주는 1452억원어치다. 김 의장은 부인과 두 자녀에게 각 6만주(264억원 상당)를, 그 외 다른 친인척에게는 각 4200~2만5000주를 나눠줬다.그간 김 의장의 주식 증여는 사회복지단체 기부 목적 등으로만 이뤄져 왔다. 이 때문에 김 의장이 본격적인 경영권 승계 작업에 나서는 게 아니냐는 분석이 제기됐다. 김 의장 아들 김상빈 씨(28)와 딸 김예빈 씨(26)는 지난해부터 케이큐브홀딩스에 재직 중이다.이에 대해 카카오 관계자는 ""이미 공개된 수 많은 인터뷰와 자사전에 따르면 김 의장은 장기적인 로드맵을 갖고 기부를 계획하고 있었다""며 ""지난해 카카오톡 10주년 당시에도 사회적 책임을 다하겠다는 발언을 했고, 때마침 신종 코로나바이러스 감염증(코로나19) 확산으로 기부에 대한 결심이 굳어지게 된 측면이 있다""고 했다.이어 ""현재 기부 방식 등에 대한 내용은 다양한 방안을 검토 중에 있다""며 ""기부서약 관련 내용이 확정되면 빠른 시일 내에 공개하겠다""고 덧붙였다.다음은 김범수 카카오 의장 신년 메시지 전문.안녕하세요 크루여러분, 브라이언입니다.새로 생긴 크루전용 소통채널에 첫 콘텐츠를 보내게 되어 부담도 되고 영광스러운 마음도 있네요. ^^지난 1년은 코로나가 지속되면서 예상보다 변화가 심하고 어려운 한 해였습니다. 이런 시기에도 의미있는 성장을 이끌어내 주신 크루 여러분들에게 감사드립니다.모든 영역에서 비대면이 강화되는 상황과 급격한 기술 발전이 겹쳐지면서 세상은 이전에 경험하지 못했던 영역으로 빠르게 진입하였습니다. 이제 시작에 불과할 수 있는 이번 변화의 물결은 세상을 어느 곳으로 이끌고 갈지 두렵기도 하고 기대가 되기도 합니다.우리는 불확실성이 커지고 있는 이 시기에 이루어 온 것에 안주하지 않고 어떤 도전을 해 나가야 할까요? 언제나 그래왔듯이 공동체의 리더분들과 크루분들이 함께 답을 찾아가실 것이라 믿어 의심치 않습니다.저도 지난 3월에 10주년을 맞아 사회문제 해결의 주체자가 되자고 제안드린 후 무엇을 할지 고민이 많았는데요. 격동의 시기에 사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더이상 결심을 더 늦추면 안되겠다는 생각이 들었고, 앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 되었습니다. 그 다짐은 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진중에 있습니다.구체적으로 어떻게 사용할지는 이제 고민을 시작한 단계이지만, 카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원해 나갈 생각입니다. 구체적인 플랜은 크루 여러분들에게 지속적으로 공유드리며 아이디어도 얻고 기회도 열어 드리도록 하겠습니다.점점 기존의 방식으로는 풀 수 없는 문제가 많아지면서, 함께 지혜를 모아 나가야겠다는 생각이 듭니다. 조만간 더 깊은 소통을 할 수 있는 크루간담회도 열어보려고 하니 그때 또 많은 이야기를 나누었으면 합니다.다시 한번 크루 여러분들의 열정과 도전을 응원하며, 진심으로 감사드립니다.새해 복 많이 받으세요.2021. 2. 8. 브라이언조아라 한경닷컴 기자 rrang123@hankyung.com▶ 경제지 네이버 구독 첫 400만, 한국경제 받아보세요▶ 한경 고품격 뉴스레터, 원클릭으로 구독하세요▶ 한국경제신문과 WSJ, 모바일한경으로 보세요 ⓒ 한국경제 & hankyung.com, 무단전재 및 재배포 금지"
2021.02.08.,카카오 김범수 “재산 절반 이상 기부”,https://n.news.naver.com/mnews/article/056/0010985908?sid=102,"카카오 창업자 김범수 이사회 의장이 자신의 재산 절반 이상을 기부하겠다는 뜻을 밝혔습니다.오늘(8일) 김 의장은 카카오 및 계열사 전 임직원에게 보낸 신년 카카오톡 메시지에서 “앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다”고 밝혔습니다.김 의장은 “격동의 시기에 사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더는 결심을 더 늦추면 안 되겠다는 생각이 들었다”며 “그 다짐은 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진 중”이라고 설명했습니다.그는 “구체적으로 어떻게 사용할지는 이제 고민을 시작한 단계”라면서 “카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원해 나갈 생각”이라고 밝혔습니다.김 의장의 재산은 개인 명의로 보유한 카카오 주식 1,250만 주(8일 종가 기준 5조 7125억 원) 등 총 10조 원이 넘어 기부할 재산은 5조 원 이상으로 추산됩니다.김 의장은 1998년 한게임을 창업해 2000년 네이버와 합병시킨 다음 NHN 공동대표를 맡다가 2007년 물러나 미국으로 떠났습니다. 이후 한국으로 돌아와 2010년 카카오톡을 내놓았고, 2014년에는 다음커뮤니케이션을 인수했습니다.한편, 김 의장은 지난 12일 자신이 보유하고 있던 주식 33만 주를 아내와 자녀 등 친인척 14명에게 증여했습니다. 아내와 두 자녀는 각각 6만 주씩, 다른 친인척들은 4,200주에서 2만 5,000주를 증여받았습니다. 8일 종가 기준으로 1508억 원 규모입니다. 이승종 (argo@kbs.co.kr)▶ 더 빠르고 정확한 소식을 원하시면 KBS뉴스 구독!▶ ‘코로나19 3차 대유행’ 제대로 알아야 이긴다"
2021.02.08.,"카카오, 전 직원에 455만원 자사주 쏜다…IT기업 보너스 잔치",https://n.news.naver.com/mnews/article/009/0004745991?sid=101,"네이버는 임원 90명에 총 31억넥슨 전 직원 연봉 800만원 ↑[사진 출처=카카오] 신종 코로나바이러스 감염증(코로나19) 반사이익 효과를 본 IT 기업들이 앞다퉈 보너스 잔치를 벌이고 있다.카카오는 전 임직원에게 상여금으로 자사주 10주씩을 지급한다고 8일 공시했다. 지급 대상은 총 2619명으로, 1인당 455만원(취득 단가 45만5000원)을 받게 된다. 총 지급 규모는 119억원이다. 자사주 상여금은 스톡옵션과 달리 바로 처분할 수 있다.카카오 측은 ""코로나19라는 예상치 못한 상황을 적극적 협조와 노력을 통해 극복했던 점과 지난해 계획했던 목표를 달성했던 점을 반영했다""며 ""앞으로 회사의 지속적 성장에 발맞춰 모든 직원이 함께 노력하기를 바라는 의미""라고 밝혔다.카카오는 코로나19로 늘어난 비대면 소비 수혜를 본 대표 기업이다. 카카오의 지난해 3분기 누적 매출(연결 기준)은 2조9216억원으로 전년 동기간(2조2225억원)대비 31.5% 증가했다. 증권가에서는 지난해 카카오 매출이 사상 처음으로 4조원을 돌파한 것으로 보고 있다.앞서 네이버도 임원 총 90명에 31억원 상당의 자사주 상여금을 인센티브의 일환으로 지급했다. 1인당 평균 98주, 3479만원(1월 28일 종가 35만5000원)이다. 가장 많은 자사주를 받은 인물은 한성숙 대표로 1000주를 받았다. 금액으로 환산할 경우 3억5500만원 규모다.네이버의 지난해 매출은 5조3041억원으로 전년대비 21.8% 증가했다. 같은 기간 영업이익은 5.2% 늘어난 1조2153억원을 기록했다.넥슨은 올해부터 재직자와 신입사원의 연봉을 최대 800만원 인상한다고 밝혔다. 아울러 회사 성장에 기여한 직원에게는 전년보다 높은 수준의 성과급을 별도로 지급할 계획이다.엔씨소프트는 2019년 300만원에 이어 지난해에도 200만원의 연말 특별 격려금을 전직원에게 전달했다. 지급 대상은 계약직과 파견직 등을 포함한 총 4400명으로, 총 88억 규모다.[신미진 매경닷컴 기자 mjshin@mk.co.kr]▶ '경제 1위' 매일경제, 네이버에서 구독하세요▶ 이 제품은 '이렇게 만들죠' 영상으로 만나요▶ 부동산의 모든것 '매부리TV'가 펼칩니다[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
2021.02.08.,"[단독]카카오 김범수 ""전 재산 절반 이상 사회에 기부""",https://n.news.naver.com/mnews/article/008/0004540679?sid=105,"[머니투데이 이동우 기자, 이진욱 기자] 김범수 카카오 의장김범수 카카오 이사회 의장이 직원들에게 보낸 메시지를 통해 재산의 절반 이상을 사회에 기부하겠다는 의사를 밝혔다. 김 의장은 8일 카카오톡 크루 전용 소통채널에 브라이언(Brian) 이라는 이름으로 ""사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더이상 결심을 더 늦추면 안되겠다는 생각이 들었다""며 이같이 말했다. 김 의장은 ""지난 3월에 10주년을 맞아 사회문제 해결의 주체자가 되자고 제안드린 후 무엇을 할지 고민이 많다""며 ""앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다""고 밝혔다. 이어 그는 ""그 다짐은 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진중에 있다""고 덧붙였다. 김 의장은 ""구체적으로 어떻게 사용할지는 이제 고민을 시작한 단계""라면서도 ""카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원해 나갈 생각""이라고 강조했다. 그러면서 ""구체적인 플랜은 크루 여러분들에게 지속적으로 공유드리며 아이디어도 얻고 기회도 열어 드리도록 하겠다""고 말했다. 한편 이날 카카오는 전 임직원에게 자사주 상여금 10주씩을 지급한다고 사내에 공지했다. 취득 단가는 45만5000원으로, 455만원 상당이다. 이동우 기자 canelo@mt.co.kr, 이진욱 기자 showgun@mt.co.kr▶부동산 투자는 [부릿지]▶조 변호사의 가정상담소▶줄리아 투자노트 <저작권자 ⓒ '돈이 보이는 리얼타임 뉴스' 머니투데이, 무단전재 및 재배포 금지>"
2021.02.08.,"'기부왕' 카카오 김범수 ""재산 절반 이상 기부하겠다""(종합)",https://n.news.naver.com/mnews/article/003/0010335699?sid=101,"최소 5조원 추정…임직원에 신년 카톡 메시지로 알려공증 위한 기부 서약 절차도 추진 중누적으로 이미 224억원 규모 기부 여러차례 단행해▲카카오 김범수 의장[서울=뉴시스] 이진영 기자 = 카카오 창업자 김범수 의장이 8일 사회문제 해결을 위해 재산 절반 이상을 기부하겠다는 의사를 발표했다. 그의 재산은 주식만 현재 10조원 정도임에 따라 최소 5조원이 넘는 규모를 사회에 헌납할 것으로 예상된다. 김 의장은 이전에도 카카오 법인과 별도로 사회적 문제 해결과 국가적 위기 극복을 위해 14년여간 224억원 규모의 기부를 단행한 데 이어 이번 통큰 결정으로 명실상부 '기부 끝판왕'이라는 평가가 나온다. 김 의장은 이날 카카오 임직원에 신년 카톡 메시지를 보내 ""격동의 시기에 사회문제가 다양한 방면에서 더욱 심화되는 것을 목도하며 더이상 결심을 더 늦추면 안 되겠다는 생각이 들었고, 앞으로 살아가는 동안 재산의 절반 이상을 사회문제 해결을 위해 기부하겠다는 다짐을 하게 됐다""라고 밝혔다.이어 ""이번 다짐이 공식적인 약속이 될 수 있도록 적절한 기부서약도 추진 중이다""라고 알렸다.앞서 그는 작년 3월 카톡 출시 10주년을 맞아 사회문제 해결의 주체자가 되겠다고 약속한 후 고민한 결과의 연장선이라고 설명했다.현재 김 의장이 보유 중인 카카오의 지분은 13.74%(1217만631주)다. 김 의장이 보유한 주식 가치는 약 10조원으로 추산되며, 그의 재산 중 주식 절반만 계산해도 5조원에 달한다. 그는 기부금을 어떻게 사용할지는 아직 정하지 않았다.김 의장은 ""구체적으로 어떻게 사용할지는 이제 고민을 시작한 단계이지만, 카카오가 접근하기 어려운 영역의 사회문제 해결을 위해 사람을 찾고 지원해 나갈 생각이다""며 ""구체적인 플랜은 크루 여러분들에게 지속적으로 공유드리며 아이디어도 얻고 기회도 열어 드리도록 하겠다""라고 말했다.김 의장은 이번 결정 이전에도 어떤 기업인보다 기부를 활발히 해왔다. 현재까지 그가 기부한 규모는 현금 72억원, 주식 약 9만4000주(약 152억원)이다. 기부 당시 주가로 합산하면 총 224억원에 이른다. 여기에 카카오 주식 가치가 가파르게 상승한 것을 고려하면 그의 기부 규모는 더 클 것으로 추정된다. 구체적으로 보면 지난해 8월 장기간 이어진 집중호우로 인한 피해 복구를 위해 희망브리지 전국재해구호협회에 10억원(약 2830주)에 이르는 개인 주식을 전달했다. 또 작년 3월에는 코로나19 피해 극복을 위해 20억원 상당의 개인 주식(약 1만1000주)을 내놓았다. 당시 카카오도 20억원을 기부해 총 40억원의 코로나 기부금이 카카오에서 조성, 국민적 기부 활동을 견인했다.(출처: 카카오)교육 문제를 해결하고 교육 혁신가를 발굴 육성하는 비영리재단 아쇼카에도 기부 활동을 이어오고 있다. 2016년부터 작년까지 5년간 매년 1만주씩 총 5만주를 내놓았다. 다음세대의 건강한 성장을 미션으로 교육혁신 분야의 다양한 실험에 투자하는 벤처기부펀드인 씨프로그램에는 2015년부터 매년 10억씩 6년간 총 60억원을 투입했다. 게임인재단에는 2015년부터 2019년까지 매년 2억씩 5년간 10억원을 기부했다. 게임인재단은 게임 산업에 종사하는 게임인과 게임인을 꿈꾸는 청소년들을 지원한다. 문화예술사회공헌네트워크에도 2016년부터 2018년까지 매년 1만주씩 3년간 총 3만주를 전달했다. 이 네트워크는 다양한 파트너와 문화예술사회공헌, 청년창업플랫폼, 도시 재생사업 등을 진행하는 조직으로 김 의장은 주식 기부를 통해 경기도 스타트업 캠퍼스 설립 및 운영 프로젝트에 힘을 보탰다. 이 밖에 모교인 건국대사대부고에 장학금으로 2007년과 2011년 1억원 씩 총 2억원을 기부했다. 김 의장은 지난 3월 국민 메신저 카카오톡 출시 10주년 맞아 임직원에 영상 메시지를 보내 ""기업이 선한 의지를 갖는다면 확실히 더 나은 세상이 되는 데 근접할 수 있다""며 ""그런 의미에서 사회 문제에 더 관심을 갖고 적극적으로 해결할 방법을 찾고 싶다""라고 말한 바 있다.또 ""카카오의 지난 10년이 '좋은 기업'(Good Company)이었다면 앞으로 10년은 '위대한 기업'(Great Company)으로 이끌어줄 것입니다""라고 언급하기도 했다．☞공감언론 뉴시스 mint@newsis.com▶ 네이버에서 뉴시스 구독하기▶ K-Artprice, 유명 미술작품 가격 공개▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기<ⓒ 공감언론 뉴시스통신사. 무단전재-재배포 금지>"
2021.02.08.,"""성과 공유"" 카카오, 임직원에 '120억 원' 자사주 쏜다",https://n.news.naver.com/mnews/article/629/0000066992?sid=105,"카카오가 구성원 2619명에게 1인당 10주의 자사주를 지급하기로 결정했다. /더팩트 DB구성원 1인당 455만 원 상당 자사주 받아…즉시 처분도 가능[더팩트│최수진 기자] 카카오가 전체 임직원에게 자사주를 지급하기로 결정했다. 카카오가 구성원에게 자사주를 지급하기로 결정한 것은 이번이 처음으로 지난해 얻은 성과를 함께 나누겠다는 취지다.8일 카카오는 자사주 2만6190주를 처분한다고 공시했다. 금액 환산 시 119억1645만 원 규모다. 처분 목적은 '임직원에 대한 상여금 지급'으로 명시했다.이에 따라 구성원 전체가 현금 성과급과는 별개로 자사주를 지급받는다. 임직원 2619명이 대상이며, 1인당 10주씩 지급된다. 지난 5일 종가 기준 주당 45만5000원으로, 구성원들이 받는 주식 규모는 455만 원 상당이다. 별도의 보호예수 기간(일정 기간 주식을 팔지 못하도록 막는 제도) 없이 즉시 처분이 가능하다.카카오는 ""처분 예정 금액은 이사회 결의일 전일(2021년 2월 5일)의 종가 기준""이라며 ""처분 방법은 교부일 당사의 자기주식 계좌에서 대상자의 계좌로 이체하는 방식""이라고 설명했다.이번 결정은 지난해 얻은 성과를 직원들과 함께 공유하자는 취지다. 증권업계에 따르면 카카오는 지난해 연 매출 4조 원을 돌파, 영업이익은 전년 대비 두 배 이상 성장한 것으로 관측된다. 지난해 신종 코로나바이러스 감염증(코로나19) 이후 자리 잡은 비대면 문화의 영향으로 보인다. 정확한 실적은 오는 9일 발표된다.jinny0618@tf.co.kr - BTS 공연 비하인드 사진 얻는 방법? [팬버십 가입하기▶]   - 내 아이돌 순위는 내가 정한다! [팬앤스타 투표하기] 저작권자 ⓒ 특종에 강한 더팩트 & tf.co.kr 무단 전재 및 재배포 금지"
2021.02.08.,"카카오게임즈, 지난해 최대 매출·영업익…""글로벌 게임사로 부상""(종합)",https://n.news.naver.com/mnews/article/366/0000666358?sid=105,"남궁훈(왼쪽)·조계현 카카오게임즈 각자대표. /카카오게임즈 제공카카오게임즈는 지난해 4분기 매출 1420억3200만원, 영업이익 165억8100만원을 기록했다고 8일 공시했다. 전년 동기 대비로는 각각 34%, 69% 늘었지만 전 분기 대비로는 5%, 21% 줄어들며 성장세가 주춤한 모습이다.카카오게임즈는 ""3분기 모바일 신작 ‘가디언테일즈’가 출시되고서 4분기에 런칭 효과 감소와 일시적인 비용 증가로 기저 효과가 있었다""고 했다. 영업이익 측면에서는 게임 개발 자회사의 인력 충원 등 인건비 증가와 PC 게임 신작인 ‘엘리온’ 마케팅비 등으로 비용 부담이 늘었다고 회사는 설명했다.4분기에 새로 내놓은 ‘엘리온’은 한 번 구매하면 추가 결제 없이 계속해서 게임을 이용할 수 있는 ‘Buy to Play’ 모델이 적용됐다. 이날 실적발표 후 컨퍼런스콜에서 조계현 카카오게임즈 대표는 ""일부 시장의 우려가 있었지만 출시(12월 10일) 후 1개월 동안 판매금액 약 100억원을 달성했다""며 ""안정적으로 PC 다중역할수행게임(MMORPG) 시장에 진입한 것으로 평가하고 있다""고 했다.조 대표는 ""특히 PC방 영업시간 제한 등으로 적극적인 마케팅에 제약이 있었으나 MMORPG 게임을 기다려 온 진성 유저를 중심으로 높은 재방문율과 긴 플레이타임의 충성 이용자를 성공적으로 확보했다""고 했다. 그러면서 ""아직 서비스 초기 단계라 조심스럽지만 가입자당 높은 매출과 재방문율, 그리고 MMORPG 평균 이상의 긴 플레이 시간을 통해 장기적으로 수익을 창출할 수 있을 것으로 기대된다""고 했다. 카카오게임즈에 따르면 PC게임의 평균 플레이 시간은 200분인 데 반해 엘리온의 플레이 시간은 400분 이상인 것으로 나타났다.카카오게임즈의 지난해 연간 매출과 영업이익은 각각 전년 대비 27%, 90% 늘어난 4955억원과 666억원이다. 조 대표는 ""지난 한 해 카카오게임즈는 창사 이래 최대 매출과 이익을 실현했고 유망 개발사에 대한 적극적인 투자와 글로벌 라인업을 확보해 2019년 4분기 20% 수준이던 해외 매출 비중을 2020년 4분기 40%까지 확대하는 등 글로벌 종합 게임사로 부상했다""고 했다.조 대표는 ""올해는 엘리온, 달빛조각사 등 기존 타이틀들의 일본, 북미, 유럽, 동남아시아 지역의 글로벌 확장과 (출시 예정인) 대작 MMORPG ‘오딘: 발할라라이징(2분기)’을 비롯해 앨리스클로젯(1분기), 월드플리퍼(2분기), 테라파이어(4분기·가칭) 등 PC와 모바일에 걸쳐 다양한 장르의 신작들을 순차적으로 출시, 지속성장을 이어갈 계획이다""고 했다.조 대표는 또 ""자회사들을 통해 첨단기술인 인공지능, 증강현실, 가상현실, 위치기반 기술을 주요사업에 접목해 스크린골프, 스마트홈트 등 게이미피케이션을 기반으로 한 신규 사업 속도를 더 하고 유망기업에 대한 전략적인 투자를 통해 새로운 성장동력을 추가할 예정이다""며 ""앞서 계열사에 편입된 넵튠과는 신장 ‘영원회귀(3분기 출시 예정)’를 포함해 다양한 사업적 협력을 논의 중에 있다""고 했다.[박현익 기자 beepark@chosunbiz.com] ▶네이버에서 '명품 경제뉴스' 조선비즈를 구독하세요▶흔들리는 신한금융… 차기 회장 구도 '오리무중'▶모바일 걷어내는 LG전자… 너도나도 목표가 상향 	저작권자 ⓒ 조선비즈, 무단 전재 및 재배포 금지"
2021.02.08.,"[속보] 김범수 카카오 의장 ""전 재산 절반이상 기부하겠다""",https://n.news.naver.com/mnews/article/009/0004746083?sid=101,"[속보] 김범수 카카오 의장 ""전 재산 절반이상 기부하겠다""[신미진 매경닷컴 기자 mjshin@mk.co.kr]▶ '경제 1위' 매일경제, 네이버에서 구독하세요▶ 이 제품은 '이렇게 만들죠' 영상으로 만나요▶ 부동산의 모든것 '매부리TV'가 펼칩니다[ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"
