기사날짜,기사제목,네이버 뉴스 url,기사내용
2023.03.19.,[단독] 카카오 ‘한국형 GPT’ 베일 벗었다…챗봇 ‘다다음’ 오픈베타 시작,https://n.news.naver.com/mnews/article/243/0000041951?sid=101,"‘검색의 다다음’ ddmm, 오픈베타 사용자 모집 시작▲생성 대화 ▲텍스트의 이미지 변환 ▲자료 조사 가능카카오브레인이 AI 챗봇 서비스 ‘다다음’(ddmm)의 오픈베타 서비스의 사용자 모집을 시작했다. 사진은 다다음 카카오톡 채널 이미지. [사진 카카오톡 채널 캡처][이코노미스트 정두용·선모은 기자] 카카오가 출시를 예고한 챗봇 형태의 생성형 인공지능(Generative AI) 서비스가 베일을 벗는다. 카카오브레인이 다다음(ddmm)이란 이름의 챗봇 서비스를 오픈베타(시범 서비스)로 출시한 것으로 확인됐다. 카카오브레인은 카카오그룹 내 인공지능(AI) 전문 연구 계열사다.카카오브레인은 AI 챗봇 서비스 ‘다다음’의 오픈베타 사용자 모집을 19일 시작했다. 회사는 해당 서비스 앞에 ‘검색의 다다음’이란 수식어를 붙였다. 해당 서비스는 현재 다다음 카카오톡 채널을 친구 추가하면 채팅방을 통해 이용이 가능하다.회사는 오픈베타 모집 글을 통해 “주말 사이 만들어 공개하는 만큼 많은 분의 입소문과 피드백이 필요하다”며 “다다음의 카카오톡 채널을 구독(팔로우)해 무엇이든 물어보거나 시킬 수 있다”고 안내했다. 또 “(답변에) 약간 시간이 걸려도 너그러이 봐달라”며 “속도는 곧 개선될 예정”이라고 했다. 카카오브레인 측은 별도의 오픈채팅방도 개설해 이용자로부터 사용에 관한 의견을 수렴하고 있다.카카오브레인은 다다음의 서비스가 ▲GPT 기반의 인공지능 생성 대화 ▲검색 결과를 활용한 자료 조사 ▲‘그려줘’란 명령어를 통해 텍스트의 이미지 변환(Text to image)이 가능한 서비스라고 소개했다. GPT(Generative Pre-trained Transformer) 기술은 ‘사전 훈련된 생성 변환기’ 정도로 번역이 가능하다.다다음 채널 가입자는 이날 오후 6시 기준 550명 안팎이다. 일부 커뮤니티에선 다다음 챗봇의 사용 후기가 올라오고 있다. 한 이용자는 “문장 길이(Context Length)가 512밖에 안되는 것 같다”고 카카오톡 채팅을 통해 물었다. 다다음은 이에 대해 “코(Ko)GPT-2 모델을 사용해 입력되는 문장의 길이가 최대 512개 토큰으로 제한돼 있다”며 “512토큰 이상의 긴 문장은 처리하지 못하거나, 문장의 앞부분이 잘리는 경우가 있을 수 있다”고 답했다.다다음 서비스는 현재 모든 이용자에게 한시적 무료로 제공되고 있다. 다만 사용량이 비정상적으로 많거나 악용이 의심될 때는 서비스 이용이 제한될 수 있다. 또 별도의 이용자 개인정보는 수집되지 않는다. 그러나 서비스 이용 시 이용자의 질문 데이터와 답변 내용은 서비스 품질 향상을 위해 활용될 수 있다. 회사 측은 “서비스 제공을 위해 제삼자가 제공하는 기술에 대한 이용약관 동의가 필요하다”며 “민감한 개인정보의 전달은 주의해달라”고 고지했다.‘한국형 GPT 서비스’ 예고한 카카오, 다다음은 신호탄?카카오는 미국 스타트업 오픈AI(OpenAI)가 2022년 11월 본격적으로 서비스한 ‘대답하는 AI’ 챗GPT(ChatGPT)에 맞춰 한국형 서비스 출시를 예고한 바 있다. 세계적 열풍을 일으킨 챗GPT의 핵심인 ‘자연스러운 대화’ 기능은 고스란히 흡수하고, 약점은 보완해 자사 경쟁력을 확보하겠단 접근이다. 챗GPT는 한글 등 비영어권 언어로도 대화가 가능하다. 그러나 영어에 비해 정확도와 답변 속도가 떨어진다는 지적을 받아왔다.홍은택 카카오 대표는 최근 2022년도 실적 발표 후 이어진 컨퍼런스콜(투자자 설명회)을 통해 “글로벌 기업과 같은 선상에서 경쟁하기보다 자사가 가진 한국어 특화 AI 모델인 코GPT를 활용해 우리가 잘 할 수 있는 날카로운 서비스에 집중할 것”이라며 “연내 AI 기반 버티컬(전문 영역 특화) 서비스를 빠르게 선보이며 비용 경쟁력 있게 AI 역량을 높여 가겠다”고 밝힌 바 있다.카카오브레인이 앞서 2021년 오픈AI의 GPT-3를 기반으로 코GPT를 공개한 만큼 빠르게 한국형 특화 서비스를 구현, 시장 변화에 대응하겠단 취지다. 코GPT는 한국어를 사전적·문맥적으로 이해해 사용자가 원하는 결과를 보여주는 초거대 AI 언어 모델이다. 카카오브레인이 지속해서 기능을 고도화하는 연구를 진행하고 있다. 회사는 지난해 11월 공개된 챗GPT의 기반 기술로 사용된 GPT-3.5 모델을 자사 서비스에 접목하려는 시도를 진행하고 있다고 밝힌 바 있다.카카오브레인은 이와 관련 지난 3일 ‘생각지 못한 질문과 카카오브레인’(Unthinkable Question with kakaobrain)이란 이름의 기업 설명회를 개최하고 준비 중인 서비스의 윤곽을 공개하기도 했다. 회사는 당시 ▲이미지 생성 ▲챗봇 ▲헬스케어를 ‘미래 먹거리’로 꼽았다. 이 중에서 챗봇 서비스의 구체적 모습이 ‘다다음’ 오픈베타 시작으로 드러났다.카카오브레인은 다다음 오픈베타 사용자 모집과 함께 이용약관도 고지했다. 회사 측은 “다다음 서비스는 이용자의 다양한 질문과 요청을 AI 기술 기반으로 답변을 주는 서비스”라며 “최신 정보 기반으로 정확한 답변을 드리기 위해 노력하고 있으나, 기술적 특성으로 인해 답변에 대한 정확도와 신뢰도를 보장하지는 않는다. 답변에 일부 부적절한 표현이 포함될 수도 있다”고 설명했다. 이어 “다다음의 답변 결과를 활용하는 데 있어 모든 책임은 이용자 본인에게 있다는 점을 유의해달라”고 설명했다. 회사는 이용약관의 적용일을 지난 15일로 설정해 서비스를 운영하고 있다."
2023.03.19.,"긴축 나선 네이버-카카오, 올해 주총 키워드는?",https://n.news.naver.com/mnews/article/138/0002144529?sid=105,"[디지털데일리 최민지 기자] 국내 대표 플랫폼 기업인 네이버와 카카오 주주총회가 임박했다.    네이버는 오는 22일 오전 10시 경기도 성남시 그린팩토리에서, 카카오는 오는 28일 오전 9시 제주도 제주시 스페이스닷원에서 주주총회를 각각 개최할 예정이다.   양사 모두 경기불황 속에서 이사 보수를 줄이는 등 긴축 경영에 나섰지만, 이사회 구성에선 다른 노선을 보여줬다. 네이버는 최수연 대표 취임 1년째인 만큼, 안정적 경영 환경 조성에 방점을 찍었다. 카카오는 서비스 장애 후속 조치로 홍은택 단독 대표 체제로 바뀌면서, 이사회에도 변화를 맞았다.    ◆네이버-카카오, 이사회 보수 얼마나 줄였나?=전세계 경기침체로 글로벌 빅테크 기업들도 구조조정을 단행하는 가운데, 네이버와 카카오도 긴축재정에 돌입했다. 이를 위해 양사는 이번 주총에서 이사 보수 한도를 줄이는 안건을 공통으로 상정한다.    네이버는 이사 보수 총액 또는 최고한도액을 150억원에서 80억원으로 줄이는 안건을 올렸다. 네이버는 2014년 이사 수를 7명으로 정한 후, 현재까지 150억원 보수 한도를 유지해왔다. 물론, 지난해 집행된 금액은 40억원으로, 실제 한도에 달할 정도로 보수를 지급한 경우는 없었다.    지난해 네이버는 2018년 이후 처음으로 영업이익 역성장을 기록했다. 네이버는 지난해 역대 최대 매출인 8조2201억원을 달성했지만, 영업이익은 1조3047억원으로 전년대비 1.6% 줄었다. 이에 김남선 네이버 최고재무책임자(CFO)는 실적발표 컨퍼런스콜을 통해 “올해 핵심 사업 매출 가이던스 제시는 어렵지만 최소한 역성장을 방어하도록 최선을 다하고 있다”고 언급하기도 했다. 이처럼 경영환경이 악화된 만큼 비용 절감을 통한 수익성 제고를 꾀하기로 한 것이다.     역성장을 피해가지 못한 건 카카오도 마찬가지다. 이에 카카오는 이번 주총에서 이사 보수 총액 또는 최고 한도액을 120억원에서 80억원으로 줄이기로 했다. 카카오 또한 네이버와 마찬가지로 이사 수는 7명으로 동일하다. 지난해 집행된 이사 보수 총액은 76억7038만원이었다.    또한, 카카오는 퇴직금 지급 제한 규정을 신설했다. 임기 중 이사가 ▲주총 해임 결의로 퇴임 ▲회사 명예에 손상, 회사에 치명적인 손해를 입혔을 경우 ▲임직원 재임 중 직무 관련 벌금 이상의 형을 받는 경우에 해당한다. 이사가 직무 관련 수사를 받거나 기소된 상태에서 퇴임한다면, 무혐의‧무죄 또는 벌금형 미만 형이 확정될 때까지 퇴직금 지급을 유예할 수 있다.    앞서, 카카오는 지난달 22일 홍은택 대표에게 스톡옵션 5만주를 부여하고 퇴직금 지급률을 3배수로 설정하는 안건을 주주총회에 상정할 예정이라고 공시했다. 이는 지난해 임직원 성과급을 축소하는 등 긴축경영 상태에서, 대표에게만 과도한 보상을 한다는 논란을 일으켰다. 이에 홍은택 대표는 직접 사내게시판을 통해 임직원에 사과하고, 퇴직금 지급률 인상은 후임 대표부터 적용하기로 했다.   ◆’안정‘ 택한 네이버 이사회, 변대규 의장 체제 지속=네이버 이사회는 변대규 의장 체제를 9년간 지속할 전망이다. 외부 경영환경이 불확실해진 상황에서, 지난해 3월 주총을 통해 선임된 후 최수연 대표 취임 1년째를 맞았다. 변화보다는 네이버 경영활동 안정에 초점을 둔 것으로 평가된다.   이와 관련 네이버는 이번 주총에서 기타비상무이사 후보로 변대규 의장 재선임건을 요구한다. 이번에 재선임 안건이 통과된다면, 변 의장 임기는 2026년 3월까지다.    변대규 휴맥스홀딩스 회장은 네이버 창업자인 이해진 글로벌투자책임자(GIO)가 의장직에서 물러난 지난 2017년 3월부터 네이버 이사회 의장으로 활동해 왔다. 변대규 의장은 네이버에서 대표와 이사회 의장을 분리했다는 상징성을 지닌다.    현재 변 의장은 네이버 이사회 내에서 리더십‧보상위원회 위원장을 맡고 있고, ESG위원회와 사외이사후보추천위원회에서 활동하고 있다.    네이버는 “변 의장은 벤처 1세대로서 진취적인 벤처 정신과 해외진출 추진력, 글로벌 기업을 키워 낸 역량을 높이 평가 받아 2017년 3월 네이버 이사회 의장으로 선임됐으며, 다양한 사내‧사외이사 경력과 전문성을 바탕으로 네이버 이사회가 발전하는데 상당히 기여했다”고 말했다.    이어 “오랜 시간 축적된 사업 능력과 경력을 바탕으로 다양한 부문의 주요 의사결정을 주도해 급속도로 성장하는 네이버의 중요한 축”이라며 “글로벌 기술 플랫폼 기업으로 도약하는데 큰 역할을 해 재선임을 추천한다”고 전했다.    ◆카카오 이사회 ’변화‘, 배재현‧정신아 투자전문가 앞으로=반면, 카카오는 변화를 준비했다. 홍은택 단독 대표 체제 전환 후 첫 주총으로, 이사회 구성도 일부 달라졌다. 남궁훈 전 대표가 사임하고, 김성수 카카오엔터테인먼트 대표는 카카오 사내이사 및 이사회 의장직에서 물러나면서 카카오 이사회는 총 7명으로 확정됐다.    이번 주총에서 사내이사‧사외이사 안건 등이 통과되면 카카오 이사회는 사내이사 3인 ▲홍은택 대표 ▲배재현 공동체투자총괄대표 ▲정신아 카카오벤처스 대표, 사외이사 4인 ▲신선경 법무법인 리우자문파트 파트너 변호사 ▲윤석 윤앤코 대표 ▲최세정 고려대 미디어학부 교수 ▲박새롬 성신여대 융합보안공학과 조교수로 구성된다.    이 중에서 특히 주목할 인물은 배재현 공동체투자총괄대표다. 지난 1월 해외 국부펀드로부터 1조2000억원 규모 투자를 유치한 공로를 인정받아, 배 대표가 사내이사로 신규 선임된 것으로 보인다.    카카오는 “배 대표는 자본 유치‧투자 측면에서 핵심적인 역할을 수행하고 있으며, 카카오 글로벌시장 진출‧확장을 위해 노력하는 등 기업가치 성장에 상당한 기여를 하고 있다”며 “카카오에 대한 깊은 이해도와 전문성을 바탕으로 주요 경영 사안에 대해 의견을 제시하고, 미래지향적인 가치를 구현하는 등 다방면에서 중추적인 역할을 할 수 있을 것”이라고 기대했다.    기타비상무이사로 내정된 정신아 카카오벤처스 대표는 투자 전략 수립과 IT 스타트업 투자 발굴에 기여한 인물이다. 투자 관련 전문가 2명을 이사회에 전진배치한 만큼, 카카오가 ’비욘드 코리아‘에 걸맞는 글로벌 전략을 수행하기 위한 공격적 투자를 전개할 것으로 전망된다.    또한, 카카오는 신선경 법무법인 리우자문파트 파트너 변호사를 사외이사로 신규 선임한다.  신선경 변호사는 국내 변호사 자격을 비롯해, 스탠퍼드대학교 로스쿨 법학 석사 과정을 수료하고 미국 뉴욕주 변호사 자격을 취득한 법률 전문가다. 기업지배구조와 금융에 대한 기업 법률 자문 경험을 20년 이상 보유하고 있다.    카카오는 “신선경 후보는 급격한 성장과 신규 사업 확대에 따른 법적 리스크를 선제적으로 검토‧대응할 수 있도록 조언할 수 있다”며 “선진적 거버넌스 체계 수립 및 윤리 경영, ESG(환경, 사회, 지배구조)경영 차원에서 기업 경영 전반과 이사회 안건에 대해 법률적 식견과 전문성을 제시할 수 있을 것”이라고 설명했다.    이외에도 카카오는 ‘음반·음악영상물제작업’을 신규 사업으로 정관에 추가하는 안을 주총 안건으로 올렸다."
2023.03.19.,"카카오 테크 캠퍼스, 고용노동부 ESG 지원사업 기업 선정",url없음,<네이버 기사 없음>
2023.03.19.,"SM엔터테인먼트 품는 카카오, 연내 상장 탄력 받나",https://n.news.naver.com/mnews/article/629/0000206566?sid=105,"자회사 카카오엔터테인먼트 상장 추진 예상아티스트 IP·IT 기술 간 시너지 발굴최근 SM엔터테인먼트 인수를 확정지은 카카오가 본격적인 시너지 발굴에 나선다. /이동률 기자카카오가 하이브와의 접전 끝에 SM엔터테인먼트를 품에 안으면서 업계에서는 이번 인수를 계기로 카카오 핵심 자회사인 카카오엔터테인먼트 기업공개 작업에도 속도가 붙을 것이라는 전망이 나온다.19일 업계에 따르면 카카오는 공개매수를 통해 SM엔터테인먼트의 추가 지분을 확보하고, 경영권 인수 절차를 마무리할 계획이다.앞서 지난 12일 카카오와 SM엔터테인먼트 인수를 둘러싸고 격전을 벌이던 하이브는 SM엔터테인먼트 인수 절차 중단을 공식 발표했다.하이브는 ""카카오·카카오엔터테인먼트와의 경쟁 구도로 인해 시장이 과열 양상을 나타내고 있다고 판단했고, 이는 당사 주주가치에도 부정적 영향을 끼칠 수 있는 점을 종합적으로 고려해 의사결정을 내렸다""고 밝혔다.업계에서는 카카오가 이번 SM엔터테인먼트 인수를 계기로 자회사 카카오엔터테인먼트의 본격적인 상장절차에 돌입할 것으로 예상하고 있다.카카오엔터테인먼트는 지난 2019년부터 본격적인 상장 준비에 나서왔다. 당시 상장주관사를 선정하고, 기업 설명회까지 마쳤지만, 다른 카카오 계열사의 상장에 일정이 밀렸다. 다시 한번 상장을 준비하던 카카오엔터테인먼트는 지난해 2월 상장 예비심사 청구일을 4월 말 이후로 돌연 연기했다.윤예지 하나증권 연구원은 최근 리포트를 통해 ""SM엔터테인먼트 인수로 카카오엔터테인먼트 상장은 가시화될 것""이라고 진단했다.이어 ""카카오엔터는 지난 1월 싱가포르투자청(GIC)과 사우디아라비아 국부펀드(PIF)로부터 11조3000억 원 밸류에이션으로 1조2000억 원의 투자를 유치한 만큼 상장 밸류에 대한 부담이 존재했다""며 ""이번 인수를 통해 밸류 부담을 해소할 수 있을 것""이라고 전망했다.카카오와 SM엔터테인먼트는 우선 해외 사업과 SM엔터테인먼트의 IT 관련 자회사 '디어유', '버블' 등의 팬 커뮤니티 분야에서 시너지를 낼 것으로 기대된다.이번 SM엔터테인먼트 인수를 주도한 배재현 카카오 공동체 투자총괄대표 수석부사장은 ""글로벌 무대에서 성장을 지속하기 위해서는 탁월한 지식재산권(IP) 경쟁력과 IT 기술력 뿐 아니라 서로 경쟁하며 성공 노하우를 공유하는 선의의 경쟁자가 필요하다""며 ""카카오와 카카오엔터테인먼트는 산업 내 파트너들과 공정한 협력과 경쟁을 통해 글로벌 시장에서 한국 문화의 위상을 높이며, 대한민국의 차기 수출 주력 산업으로 규모감 있게 성장할 수 있도록 기여하겠다""고 예고했다.특히 SM엔터테인먼트의 글로벌 인기 아티스트 지식재산권(IP)과 제작시스템, 카카오와 카카오엔터테인먼트의 IT 기술과 IP 밸류체인의 비즈니스 역량을 결합해 시너지를 발굴한다는 구상이다.스토리 부문의 강점을 가진 카카오엔터테인먼트는 SM엔터테인먼트 인수를 통해 뮤직 부문 IP를 강화할 예정이다. /타파스엔터테인먼트 홈페이지 캡처현재 카카오엔터테인먼트는 △미디어 △스토리 △뮤직 등 3대 사업영역을 갖추고 있다. 이 중에서 글로벌 영역에서 가시적인 성과를 내고 있는 부문은 웹툰과 웹소설 등 웹 콘텐츠를 앞세운 스토리 부문이다. 카카오엔터테인먼트는 지난 2021년 북미 웹툰 플랫폼 '타파스'와 웹소설 플랫폼 '래디쉬', '우시아월드' 등을 인수했다. 지난해 8월에 이를 합쳐 '타파스엔터테인먼트'를 출범시켜 북미 콘텐츠 전진기지로 삼아왔다.카카오는 SM엔터테인먼트 인수를 통해 약점으로 꼽혀온 뮤직 부문의 대형 IP를 충원한다는 구상이다. 국내 4대 연예기획사로 꼽히는 SM엔터테인먼트는 공개오디션과 연습생 제도 등을 도입해 보아, 동방신기, 슈퍼주니어, 소녀시대, 엑소, 레드벨벳, NCT, 에스파 등의 아이돌 그룹을 키워냈다. 이들은 국내뿐만 아니라 아시아와 북미 등 글로벌 시장에서도 가시적인 성과를 내고 있다.실제로 카카오는 오는 28일 열리는 정기 주주총회에서 '음반·음악 영상물 제작업'을 정관에 추가하는 안을 상정했다.팬 커뮤니티 역시 카카오의 IT 기술력과 SM엔터테인먼트의 IP사이의 시너지 발굴 통로가 될 것으로 예상된다. 앞서 SM엔터테인먼트의 자회사 디어유는 올해 초 엔씨소프트의 팬 플랫폼 '유니버스'를 인수했다. 이에 따라 유니버스에 참여하던 카카오엔터테인먼트 가수들도 디어유에 소속됐다.윤 연구원은 ""에스엠은 해외 매출 비중이 20%가 넘는 만큼 카카오가 목표로 내세운 3년 내 해외매출 비중 30% 확대에도 기여할 수 있을 것""이라고 전망했다.발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write"
2023.03.19.,'승자의 저주'는 없고 모두 '만족'?...카카오 승리로 막내린 1조3000억대 '쩐의 전쟁',url없음,<네이버 기사 없음>
2023.03.19.,"스테이지파이브 알뜰폰, 카카오톡에서 바로 개통",https://n.news.naver.com/mnews/article/018/0005445200?sid=105,"카카오톡 기반 핀다이렉트 챗봇 내카카오엔터프라이즈 AI엔진 KAKAO i 적용사전동의 자동화, 개통신청서 수정 자동화[이데일리 김현아 기자] 스테이지파이브가 운영 중인 통신플랫폼 ‘핀다이렉트’ 로고카카오 관계사인 알뜰폰 업체 스테이지파이브(대표 서상원)는 자사가 운영 중인 통신 플랫폼 핀다이렉트 내에 인공지능(AI) 개통시스템을 가동했다고 밝혔다.해당 시스템은 알뜰폰 업계 뿐 아니라 통신 업계 최초다. 카카오엔터프라이즈의 카카오 i 엔진을 이용한다. 알뜰폰 개통 불편, AI로 해결스테이지파이브에 따르면 알뜰폰 요금제에 가입하는 고객들의 전체 상담 건 중 절반 이상인 70%가 개통 관련 불편이었다. 또, 개통 관련 불편 건 중 가장 많이 접수된 상담은 △번호 이동 사전동의(55%)였으며 △개통 신청서 수정(26%)이었다.스테이지파이브는 이를 해소할 수 있는 방안으로 AI라는 기술 혁신 카드를 꺼냈다. 기존 카카오톡 기반으로 운영 중이던 핀다이렉트 챗봇 내 AI 개통 시스템을 적용해 강화하는 방식이다.  스테이지파이브가 도입한 AI 개통 시스템을 통하면 고객이 직접 복잡한 사전동의 작업을 해야 하거나, 개통 신청서 오기입 시 고객이 신청서 내 화면에서 일일이 수정해야 했던 번거로움을 줄일 수 있다. 카카오톡에서 바로 개통그저 카카오 기반 챗봇이 제공하는 가이드를 따라가다 보면 어려움 없이 개통이 진행된다. 이는 기존보다 편의성 측면에서 매우 강화됐다.특히 △카카오톡에서 바로 개통할 수 있다는 점과 △고객이 대기해야 하는 불편함 없이 자동화된 개통 프로세스를 경험할 수 있다는 점에서 현재 타 통신사들이 도입한 셀프 개통 시스템 대비 개선된 모습이다. 스테이지파이브는 지난 2020년 9월에도 규제샌드박스 사업을 통해 업계 최초로 통신 가입 시 본인인증 수단으로 간편인증을 도입한 바 있따.한편 카오엔터프라이즈는 이번에 컨택센터 플랫폼 ‘카카오 i 커넥트 센터’를 통해 알뜰폰 기업들을 상대로 마케팅을가 강화할 예정이다.신호준 커넥트플랫폼팀 이사는 “카카오 i 커넥트 센터의 AI 챗봇·전화음성봇은 스테이지파이브와 함께 충분한 시장 검증을 통해 선보이는 완성도 높은 AI 솔루션“이라며 “이를 통해 알뜰폰 고객센터 서비스 품질을 한 단계 도약시키는 데 기여할 수 있도록 최선을 다할 것”이라고 강조했다."
2023.03.19.,NHN·KT·네이버 'AI 반도체 팜' 공동 구축…카카오는 미참여,https://n.news.naver.com/mnews/article/421/0006692309?sid=105,"과기정통부 추진 'AI 반도체 팜 구축 사업'에 컨소시엄 참여19일 업계에 따르면 NHN·KT·네이버 클라우드는 컨소시엄을 꾸리고 과학기술정보통신부가 추진하는 K-클라우드 프로젝트 중 'AI 반도체 팜(Farm) 구축 및 실증' 사업과 'AI 반도체 시험 검증 환경 조성' 사업에 참여한다. 사진은 과기정통부가 추진하는 K-클라우드 프로젝트 설명 이미지(과기정통부 제공)(서울=뉴스1) 윤지원 남해인 기자 = NHN클라우드·KT클라우드·네이버클라우드가 국산 인공지능(AI) 반도체를 활용해 '반도체 팜(farm)'을 구축하는 'K-클라우드 프로젝트' 사업 참여를 위해 뭉친다.19일 업계에 따르면 이들 3사는 컨소시엄을 꾸리고 과학기술정보통신부가 추진하는 K-클라우드 프로젝트 중 'AI 반도체 팜(Farm) 구축 및 실증' 사업과 'AI 반도체 시험 검증 환경 조성' 사업에 참여한다. K-클라우드 프로젝트는 세계 최고 수준의 초고속·저전력 국산 AI 반도체를 개발하고 이를 데이터센터에 적용하려는 정부 정책이다. 과기정통부는 지난달 16일 1단계 사업을 통합 공고했다. 사업에는 올해 376억원의 사업 공모를 시작으로 오는 2025년까지 1000억원이 투입된다. 이중 AI 반도체 팜 구축 및 실증 사업에는 약 187억원이, AI 반도체 시험 검증 환경 조성 사업에는 약 131억원의 예산이 지원된다. 이달 20일 사업 접수가 마감되는 가운데 NHN·KT·네이버 클라우드가 구성한 컨소시엄에는 AI 반도체 개발사 퓨리오사 AI, 사피온, 리벨리온 등도 참여한다. 다만 당초 참여가 예상됐던 카카오엔터프라이즈는 이번 사업에 참여하지 않는 것으로 확인됐다.카카오엔터프라이즈 측은 ""2개 사업 모두 미참여""라며 ""선택과 집중을 위해 전략적으로 해당건에 참여하지 않기로 결정했고 고성능 컴퓨터 사업 등 클라우드를 활용한 다른 사업에 집중할 예정""이라고 밝혔다."
2023.03.19.,"[속보]북한, 동해로 탄도미사일 발사",https://n.news.naver.com/mnews/article/079/0003748889?sid=100,"북한이 지난 16일 발사한 대륙간탄도미사일(ICBM) 화성-17형. 연합뉴스[속보]북한, 동해로 탄도미사일 발사※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.이메일 : jebo@cbs.co.kr카카오톡 : @노컷뉴스사이트 : https://url.kr/b71afn"
2023.03.19.,[SR주간브리핑] 인터넷은행도 연봉 1억 시대…SM 경영권 쥔 카카오,url없음,<네이버 기사 없음>
2023.03.19.,"카카오게임즈, '아키에이지 워' 오는 20일부터 사전 다운로드 시작",url없음,<네이버 기사 없음>
